"id","name","application_name","img","price_mode","power_supply_price"
"1","EA1000H9","Rental LED Display","/images/products/EA1000H9.jpg","pcs","10"
"2","EA500H9","Rental LED Display","/images/products/EA500H9.jpg","pcs","10"
"3","EA1000C6","Rental LED Display","/images/products/EA1000C6.jpg","pcs","10"
"4","EA500C6","Rental LED Display","/images/products/EA500C6.jpg","pcs","10"
"5","EA500H7","Rental LED Display","/images/products/EA500H7.jpg","pcs","10"
"6","EA500H8","Rental LED Display","/images/products/EA500H8.jpg","pcs","10"
"7","EA500H8V","Rental LED Display","/images/products/EA500H8V.jpg","pcs","10"
"8","EA250H8","Rental LED Display","/images/products/EA250H8.jpg","pcs","10"
"9","EA1000H8","Rental LED Display","/images/products/EA1000H8.jpg","pcs","10"
"10","EA576H1","Rental LED Display","/images/products/EA576H1.jpg","pcs","10"
"11","EA640C3","Rental LED Display","/images/products/EA640C3.jpg","pcs","10"
"12","EA1000TOR1","Transparent LED Display","/images/products/EA1000TOR1.jpg","pcs","10"
"13","EA500TOR1","Transparent LED Display","/images/products/EA500TOR1.jpg","pcs","10"
"14","EA-Flex","Flexible LED Screen","/images/products/EA-Flex.jpg","m2","10"
"15","EA-DCan","Flexible LED Screen","/images/products/EA-DCan.jpg","pcs","10"
"16","EA-FD","Flexible LED Screen","/images/products/EA-FD.jpg","pcs","10"
"17","EA-PD","Flexible LED Screen","/images/products/EA-PD.jpg","pcs","10"
"18","EAiBall","Flexible LED Screen","/images/products/EAiBall.jpg","pcs","10"
"19","EA640F2","Indoor LED Screen","/images/products/EA640F2.jpg","m2","10"
"20","EA640H1","Indoor LED Screen","/images/products/EA640H1.jpg","m2","10"
"21","EA600COB3","Indoor LED Screen","/images/products/EA600COB3.jpg","m2","10"
"22","EA250WH5","Indoor LED Screen","/images/products/EA250WH5.jpg","m2","10"
"23","EA960F4","Commercial LED Display","/images/products/EA960F4.jpg","m2","10"
"24","EA960F3","Commercial LED Display","/images/products/EA960F3.jpg","m2","10"
"25","EA1000F2","Commercial LED Display","/images/products/EA1000F2.jpg","m2","10"
"26","EA1000F1","Commercial LED Display","/images/products/EA1000F1.jpg","m2","10"
"27","EA960R4","Commercial LED Display","/images/products/EA960R4.jpg","m2","10"
"28","EA1920iP4","LED Poster Display","/images/products/EA1920iP4.jpg","pcs","10"
"29","EA1920iP5","LED Poster Display","/images/products/EA1920iP5.jpg","pcs","10"
"30","EA3DiPoster","LED Poster Display","/images/products/EA3DiPoster.jpg","pcs","10"
"31","EA1920OP2","LED Poster Display","/images/products/EA1920OP2.jpg","pcs","10"
"32","EA960SP4","Stadium Perimeter LED Display","/images/products/EA960SP4.jpg","m2","10"
"33","EA1600SP","Stadium Perimeter LED Display","/images/products/EA1600SP.jpg","m2","10"
"34","EA250INV","","/images/products/EA250INV.jpg","","10"
"35","EA1000TOF2","Transparent LED Display","/images/products/EA1000TOF2.jpg","m2","10"
"36","EA1000TiF2","Transparent LED Display","/images/products/EA1000TiF2.jpg","m2","10"
"37","EA-iFloor","Commercial LED Display","/images/products/EA-iFloor.jpg","m2","10"
"38","EA-OFloor","Commercial LED Display","/images/products/EA-OFloor.jpg","m2","10"
"39","EA500RF2","Indoor LED Screen","/images/products/EA500RF2.jpg","m2","10"
"40","EA-OFixed","Commercial LED Display","/images/products/EA-OFixed.jpg","m2","10"
